cuda_threadfence_block_array
n iter,1000
arr step,16
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427866666666667e-06,3.96784e-05,5.026681666666667e-05,7.595603888888888e-05
int,min,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427866666666667e-06,2.2470822222222223e-05,2.6480322222222222e-05,5.7139938888888886e-05
int,med,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427866666666667e-06,3.112738888888889e-05,4.9797083333333335e-05,7.443738333333333e-05
int,avg,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427866666666667e-06,3.110151111111111e-05,4.411420555555555e-05,7.139281111111111e-05
ull,max,1.6683333333333334e-08,5.666833333333333e-07,1.6666833333333334e-06,1.6683333333333334e-08,1.6683333333333334e-08,2.22e-08,3.3555111111111113e-06,1.2189138888888888e-05,3.738271666666667e-05,4.0861550000000005e-05,7.048781666666667e-05
ull,min,1.6683333333333334e-08,5.666833333333333e-07,1.6666833333333334e-06,1.6683333333333334e-08,1.6683333333333334e-08,2.22e-08,3.3555166666666666e-06,1.2189138888888888e-05,3.854676111111111e-05,4.574458333333333e-05,0.00010601152222222222
ull,med,1.6683333333333334e-08,5.666833333333333e-07,1.6666833333333334e-06,1.6683333333333334e-08,1.6683333333333334e-08,2.22e-08,3.3555111111111113e-06,1.2189138888888888e-05,3.773708333333333e-05,4.050837777777778e-05,6.488791666666666e-05
ull,avg,1.6683333333333334e-08,5.666833333333333e-07,1.6666833333333334e-06,1.6683333333333334e-08,1.6683333333333334e-08,2.22e-08,3.3555111111111113e-06,1.2189138888888888e-05,3.7836938888888885e-05,4.206109444444444e-05,7.728300555555555e-05
float,max,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427844444444444e-06,3.643980555555556e-05,5.040388333333334e-05,7.592661111111111e-05
float,min,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427844444444444e-06,1.9269938888888888e-05,2.5155305555555557e-05,5.665713888888889e-05
float,med,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427844444444444e-06,2.7856005555555557e-05,4.97424e-05,7.435596111111111e-05
float,avg,1.6683333333333334e-08,1.6683333333333334e-08,5.666833333333333e-07,1.6444833333333334e-06,-5.499666666666667e-07,1.1122222222222222e-08,3.3333222222222223e-06,4.427844444444444e-06,2.785891666666667e-05,4.384935555555555e-05,7.135312777777779e-05
double,max,1.6683333333333334e-08,5.666833333333333e-07,1.6555833333333332e-06,3.3333333333333335e-11,5.583333333333333e-09,5.55e-09,4.46105e-06,1.1666822222222223e-05,3.74365e-05,3.523762222222222e-05,7.001653333333334e-05
double,min,1.6683333333333334e-08,5.666833333333333e-07,1.6555833333333332e-06,3.3333333333333335e-11,5.583333333333333e-09,5.55e-09,4.4610555555555555e-06,1.1666822222222223e-05,3.6474783333333335e-05,-6.470049999999999e-06,7.688663888888889e-05
