cuda_atomiccas_array_pass_v2
n iter,1000
arr step,1
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.828311111111111e-06,1.1656388888888888e-05,2.2222222222222223e-05,4.444432777777778e-05,8.888872222222222e-05,0.00017777757777777777
int,min,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.828311111111111e-06,1.1656272222222223e-05,2.2222222222222223e-05,4.2101e-05,8.279108333333334e-05,0.00016520557222222222
int,med,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.828311111111111e-06,1.1656327777777778e-05,2.2222222222222223e-05,4.328526666666667e-05,8.805342777777778e-05,0.00017593293888888887
int,avg,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.828311111111111e-06,1.1656327777777778e-05,2.2222222222222223e-05,4.327566666666666e-05,8.696492222222222e-05,0.00017453444444444444
ull,max,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,1.1654483333333333e-05,2.222211111111111e-05,4.4444444444444447e-05,8.888888888888889e-05,0.0001777777388888889,0.00035555516666666665
ull,min,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,1.1654483333333333e-05,2.2222333333333332e-05,4.4444444444444447e-05,8.641428888888889e-05,0.00016837867777777778,0.00033309523333333334
ull,med,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,1.1654483333333333e-05,2.2222222222222223e-05,4.4444444444444447e-05,8.767276666666667e-05,0.00017551611666666666,0.0003526497666666667
ull,avg,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,1.1654483333333333e-05,2.2222222222222223e-05,4.4444444444444447e-05,8.765453888888889e-05,0.00017431100555555557,0.0003495149388888889
""
n_blocks,2
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.829299999999999e-06,1.1656133333333333e-05,1.1656327777777778e-05,2.3312477777777776e-05,4.444417777777778e-05,8.888881111111112e-05,0.0001777777
int,min,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.828994444444445e-06,1.1655705555555555e-05,1.1655494444444444e-05,2.3311066666666664e-05,4.214601111111111e-05,8.264267222222222e-05,0.00016472690555555553
int,med,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.829166666666667e-06,1.1655755555555555e-05,1.1655866666666666e-05,2.3311644444444445e-05,4.3311661111111106e-05,8.815072222222223e-05,0.00017604260000000002
int,avg,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,4.438888888888889e-06,5.829166666666667e-06,1.1655755555555555e-05,1.1655866666666666e-05,2.3311644444444445e-05,4.330494444444444e-05,8.695876111111111e-05,0.0001746322833333333
ull,max,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,1.1656294444444444e-05,1.1656344444444445e-05,2.3313083333333332e-05,4.4444438888888885e-05,8.888888888888889e-05,0.0001777779333333333,0.0003555552944444445
