cuda_atomicadd_array_v2
n iter,1000
arr step,4
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,7.396439716312056e-06,1.4792914893617022e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011347517730496454,0.0002269503829787234,0.00045390074468085103
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,7.396439716312056e-06,1.4792914893617022e-05,2.8368794326241135e-05,5.673758865248227e-05,0.0001079131914893617,0.00020863092198581562,0.00041238408510638295
int,med,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,7.396439716312056e-06,1.4792914893617022e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011069418439716311,0.00022620567375886523,0.00045255827659574467
int,avg,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,7.396439716312056e-06,1.4792914893617022e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011069418439716311,0.00022199816312056737,0.0004473255035460993
ull,max,5.673758865248227e-06,5.673758865248227e-06,5.673758865248227e-06,7.392177304964538e-06,1.480163829787234e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011347517730496454,0.00022695035460992908,0.0004539006808510638,0.0009078014326241135
ull,min,5.673758865248227e-06,5.673758865248227e-06,5.673758865248227e-06,7.392177304964538e-06,1.480163829787234e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011347517730496454,0.0002158286524822695,0.00041737078014184394,0.0008247249007092199
ull,med,5.673758865248227e-06,5.673758865248227e-06,5.673758865248227e-06,7.392177304964538e-06,1.480163829787234e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011347517730496454,0.0002213895035460993,0.0004524272340425532,0.0009054643120567376
ull,avg,5.673758865248227e-06,5.673758865248227e-06,5.673758865248227e-06,7.392177304964538e-06,1.480163829787234e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011347517730496454,0.0002213895035460993,0.0004440314822695035,0.0008948237872340426
float,max,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,7.3964468085106385e-06,1.4792900709219859e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011347517730496454,0.00022695035460992908,0.0004539007517730496
float,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,7.3964468085106385e-06,1.4792900709219859e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00010791432624113474,0.00020873248226950354,0.00041249760283687943
float,med,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,7.3964468085106385e-06,1.4792900709219859e-05,2.8368794326241135e-05,5.673758865248227e-05,0.00011069475177304965,0.00022620368794326243,0.00045267429078014185
